qno,Question,Option1,Option2,Option3,Option4,CorrectAnswer,hint,explanation
43,"Who wrote ""The Catcher in the Rye""?",J.D. Salinger,Ernest Hemingway,Mark Twain,F. Scott Fitzgerald,J.D. Salinger,,
44,What is the chemical symbol for copper?,Cu,Au,Ag,Fe,Cu,,
45,What is the currency of the United Kingdom?,Pound,Dollar,Euro,Yen,Pound,,
46,What is the capital of South Africa?,Pretoria,Johannesburg,Cape Town,Durban,Pretoria,,
47,Who discovered the theory of relativity?,Albert Einstein,Isaac Newton,Nikola Tesla,Stephen Hawking,Albert Einstein,,
48,What is the chemical symbol for helium?,He,Ar,H2,Ne,He,,
49,Which country is known as the Land of Fire and Ice?,Iceland,Greenland,Norway,Finland,Iceland,,
50,Which planet is known as the Jewel of the Solar System?,Saturn,Jupiter,Neptune,Uranus,Saturn,,
51,Who painted The Last Supper?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Claude Monet,Leonardo da Vinci,,
52,What is the capital of Germany?,Berlin,Munich,Hamburg,Frankfurt,Berlin,,
53,"Who wrote ""The Odyssey""?",Homer,Virgil,Sophocles,Euripides,Homer,,
54,What is the chemical symbol for nitrogen?,N2,O2,CO2,H2O,N2,,
55,What is the currency of Canada?,Dollar,Euro,Yen,Pound,Dollar,,
56,What is the capital of Argentina?,Buenos Aires,Cordoba,Rosario,Mendoza,Buenos Aires,,
57,"Who wrote ""The Canterbury Tales""?",Geoffrey Chaucer,William Shakespeare,John Milton,Christopher Marlowe,Geoffrey Chaucer,,
58,What is the chemical symbol for lead?,Pb,Au,Ag,Cu,Pb,,
59,Which country is known as the Land of Smiles?,Thailand,Japan,Singapore,Malaysia,Thailand,,
60,What is the chemical symbol for potassium?,K,Na,Cl,Ca,K,,
61,Who painted the Birth of Venus?,Sandro Botticelli,Leonardo da Vinci,Michelangelo,Raphael,Sandro Botticelli,,
62,What is the capital of South Korea?,Seoul,Busan,Incheon,Daegu,Seoul,,
63,"Who wrote ""Moby-Dick""?",Herman Melville,Mark Twain,F. Scott Fitzgerald,Emily Dickinson,Herman Melville,,
64,What is the chemical symbol for calcium?,Ca,K,Na,Cl,Ca,,
65,What is the currency of France?,Euro,Dollar,Pound,Yen,Euro,,
66,What is the capital of Egypt?,Cairo,Alexandria,Luxor,Aswan,Cairo,,
67,"Who wrote ""The Divine Comedy""?",Dante Alighieri,Geoffrey Chaucer,John Milton,William Shakespeare,Dante Alighieri,,
68,What is the chemical symbol for phosphorus?,P,O2,H2O,NaCl,P,,
69,Which country is known as the Land of the Long White Cloud?,New Zealand,Australia,Canada,Greenland,New Zealand,,
70,What is the chemical symbol for mercury?,Hg,Au,Ag,Cu,Hg,,
71,Who painted Guernica?,Pablo Picasso,Vincent van Gogh,Claude Monet,Leonardo da Vinci,Pablo Picasso,,
72,What is the capital of India?,New Delhi,Mumbai,Kolkata,Bangalore,New Delhi,,
73,"Who wrote ""The Adventures of Huckleberry Finn""?",Mark Twain,Emily Dickinson,William Shakespeare,F. Scott Fitzgerald,Mark Twain,,
74,What is the chemical symbol for sulfur?,S,O2,H2O,NaCl,S,,
75,What is the currency of Germany?,Euro,Dollar,Pound,Yen,Euro,,
76,What is the capital of Turkey?,Ankara,Istanbul,Izmir,Bursa,Ankara,,
77,"Who wrote ""The Iliad""?",Homer,Virgil,Sophocles,Euripides,Homer,,
78,What is the chemical symbol for silicon?,Si,O2,H2O,NaCl,Si,,
79,Which country is known as the Land of a Thousand Hills?,Rwanda,Uganda,Kenya,Tanzania,Rwanda,,
80,What is the chemical symbol for uranium?,U,Au,Ag,Cu,U,,
81,Who painted The Persistence of Memory?,Salvador Dalí,Pablo Picasso,Vincent van Gogh,Claude Monet,Salvador Dalí,,
82,What is the capital of Indonesia?,Jakarta,Surabaya,Bandung,Medan,Jakarta,,
83,"Who wrote ""Don Quixote""?",Miguel de Cervantes,Geoffrey Chaucer,John Milton,William Shakespeare,Miguel de Cervantes,,
84,What is the chemical symbol for tin?,Sn,Au,Ag,Cu,Sn,,
85,What is the currency of Brazil?,Real,Dollar,Euro,Pound,Real,,
86,What is the capital of Mexico?,Mexico City,Guadalajara,Monterrey,Puebla,Mexico City,,
87,"Who wrote ""War and Peace""?",Leo Tolstoy,Fyodor Dostoevsky,Anton Chekhov,Alexander Pushkin,Leo Tolstoy,,
88,What is the chemical symbol for zinc?,Zn,Au,Ag,Cu,Zn,,
89,Which country is known as the Land of the Thunder Dragon?,Bhutan,Nepal,Tibet,Bangladesh,Bhutan,,
90,What is the chemical symbol for radium?,Ra,Au,Ag,Cu,Ra,,
91,Who painted The Kiss?,Gustav Klimt,Edvard Munch,Claude Monet,Vincent van Gogh,Gustav Klimt,,
92,What is the capital of Nigeria?,Abuja,Lagos,Kano,Ibadan,Abuja,,
93,"Who wrote ""The Picture of Dorian Gray""?",Oscar Wilde,Emily Dickinson,Mark Twain,J.D. Salinger,Oscar Wilde,,
94,What is the chemical symbol for tin?,Sn,Au,Ag,Cu,Sn,,
95,What is the currency of Italy?,Euro,Dollar,Pound,Yen,Euro,,
96,What is the capital of Saudi Arabia?,Riyadh,Jeddah,Mecca,Medina,Riyadh,,
97,"Who wrote ""The Republic""?",Plato,Aristotle,Socrates,Cicero,Plato,,
98,What is the chemical symbol for tungsten?,W,Au,Ag,Cu,W,,
99,Which country is known as the Land of a Million Elephants?,Laos,Thailand,Vietnam,Cambodia,Laos,,
100,What is the chemical symbol for manganese?,Mn,Au,Ag,Cu,Mn,,
